source_field,target_field,transformation,validation,notes
canonical.msg_id,endToEndId,"strip prefix('MSG-')",required; string,"Restore original end-to-end ID format"
canonical.creation_date_time,criacao,"ISO 8601 format",required; datetime,"Creation timestamp for PIX"
canonical.debtor.name,pagador.nome,"trim + maxLength(140)",optional; max 140 chars,"Debtor full name"
canonical.debtor.alias,pagador.cpf,"value",required; 11 or 14 digits,"CPF or CNPJ of debtor"
canonical.debtor.account,pagador.conta,"value",optional; string,"Bank account number"
canonical.debtor.agent_id,pagador.ispb,"value",required; 8-digit ISPB,"ISPB of debtor institution"
canonical.creditor.name,recebedor.nome,"trim + maxLength(140)",optional; max 140 chars,"Creditor full name"
canonical.creditor.alias,recebedor.chave,"value",required; valid PIX key,"PIX key of creditor"
canonical.creditor.account,recebedor.conta,"value",optional; string,"Bank account number"
canonical.creditor.agent_id,recebedor.ispb,"value",required; 8-digit ISPB,"ISPB of creditor institution"
canonical.amount,valor.original,"toString with 2 decimals",required; positive number,"Amount in BRL"
canonical.purpose,infoPagador,"value or default('P2P')",optional; max 140 chars,"Payment info/purpose"
canonical.remittance_info,txid,"value",optional; max 35 chars alphanumeric,"Transaction ID for PIX"
canonical.instructing_agent,—,"not mapped (internal only)",—,"Used for routing, not sent to PIX"
canonical.instructed_agent,—,"not mapped (internal only)",—,"Used for routing, not sent to PIX"
