source_field,target_field,transformation,validation,notes
canonical.msg_id,claveRastreo,"strip prefix('MSG-') + pad to 30 chars",required; max 30 alphanumeric,"SPEI tracking key"
canonical.creation_date_time,fechaOperacion,"format('YYYY-MM-DD')",required; date,"Operation date for SPEI"
canonical.debtor.name,nombreOrdenante,"trim + maxLength(40)",optional; max 40 chars,"Ordering party name (SPEI limit: 40)"
canonical.debtor.alias,cuentaOrdenante,"value",required; 18-digit CLABE,"CLABE of ordering party"
canonical.debtor.agent_id,institucionOrdenante,"lookup BIC mock → SPEI 5-digit code",required; 5-digit code,"SPEI institution code of debtor"
canonical.creditor.name,nombreBeneficiario,"trim + maxLength(40)",optional; max 40 chars,"Beneficiary name (SPEI limit: 40)"
canonical.creditor.alias,cuentaBeneficiaria,"value",required; 18-digit CLABE,"CLABE of beneficiary"
canonical.creditor.agent_id,institucionBeneficiaria,"lookup BIC mock → SPEI 5-digit code",required; 5-digit code,"SPEI institution code of creditor"
canonical.amount,monto,"toString with 2 decimals",required; positive number,"Amount in MXN"
canonical.purpose,tipoPago,"map purpose → SPEI numeric code or default(1)",optional; 1-2 digit code,"SPEI payment type (1=others)"
canonical.remittance_info,conceptoPago,"trim + maxLength(40)",optional; max 40 chars,"Payment concept (SPEI limit: 40)"
—,referenciaNumerica,"generate 7-digit numeric",required; 7 digits,"Auto-generated numeric reference"
—,rfcCurpOrdenante,"hardcoded('ND')",optional; RFC format,"Not available in canonical, default ND"
canonical.instructing_agent,—,"not mapped (internal only)",—,"Used for routing, not sent to SPEI"
canonical.instructed_agent,—,"not mapped (internal only)",—,"Used for routing, not sent to SPEI"
