source_field,target_field,transformation,validation,notes
endToEndId,canonical.msg_id,"prefix('MSG-') + value",required; string,"PIX end-to-end ID becomes canonical msg_id"
criacao,canonical.creation_date_time,"ISO 8601 parse",required; ISO 8601 datetime,"PIX creation timestamp"
—,canonical.number_of_txs,"hardcoded(1)",—,"Always 1 for single payment"
—,canonical.settlement_method,"hardcoded('CLRG')",—,"Clearing method fixed for PoC"
pagador.ispb,canonical.instructing_agent,"lookup ISPB → BIC mock",required; 8-digit ISPB,"Maps ISPB to mock BIC identifier"
recebedor.ispb,canonical.instructed_agent,"lookup ISPB → BIC mock",required; 8-digit ISPB,"Maps destination ISPB to mock BIC"
pagador.nome,canonical.debtor.name,"trim + maxLength(140)",optional; max 140 chars,"Debtor full name"
pagador.cpf,canonical.debtor.alias,"value",required; 11 digits CPF or 14 CNPJ,"PIX key of debtor"
—,canonical.debtor.alias_type,"detect(CPF|CNPJ|PHONE|EMAIL|EVP)",derived from alias format,"Auto-detected from alias pattern"
pagador.conta,canonical.debtor.account,"value",optional; string,"Bank account number"
pagador.ispb,canonical.debtor.agent_id,"value",required; 8 digits,"ISPB of debtor institution"
recebedor.nome,canonical.creditor.name,"trim + maxLength(140)",optional; max 140 chars,"Creditor full name"
recebedor.chave,canonical.creditor.alias,"value",required; valid PIX key,"PIX key or CLABE of creditor"
—,canonical.creditor.alias_type,"detect(CPF|CNPJ|PHONE|EMAIL|EVP|CLABE)",derived from alias format,"Auto-detected; CLABE if 18 digits"
recebedor.conta,canonical.creditor.account,"value",optional; string,"Bank account number"
recebedor.ispb,canonical.creditor.agent_id,"value",required; 8 digits,"ISPB of creditor institution"
valor.original,canonical.amount,"parseFloat",required; positive number,"Amount in original currency"
—,canonical.currency,"hardcoded('BRL')",—,"PIX operates in BRL"
infoPagador,canonical.purpose,"map or default('P2P')",optional; max 35 chars,"Payment purpose code"
txid,canonical.remittance_info,"value",optional; max 140 chars,"Transaction reference"
—,canonical.source_rail,"hardcoded('PIX')",—,"Identifies origin rail"
